id, lenpayload,lsnr,rssi, flag
603,10,9.75,-62.0,0
604,16,9.25,-63.0,0
605,16,9.25,-68.0,0
606,10,8.75,-63.0,0
607,10,9.25,-66.0,0
608,10,9.25,-65.0,0
609,16,9.25,-64.0,0
610,10,8.5,-63.0,0
611,10,9.25,-74.0,0
612,10,7.25,-70.0,0
613,16,9.5,-71.0,0
614,10,10.0,-71.0,0
615,10,7.5,-68.0,0
616,10,10.5,-65.0,0
617,10,9.25,-67.0,0
618,16,8.75,-61.0,0
619,10,9.25,-66.0,0
620,10,10.0,-67.0,0
621,16,9.25,-73.0,0
622,10,10.5,-71.0,0
623,10,7.25,-68.0,0
624,16,9.75,-75.0,0
625,16,10.0,-67.0,0
626,10,9.25,-74.0,0
627,10,7.5,-73.0,0
628,10,9.0,-68.0,0
629,16,7.25,-69.0,0
630,16,10.0,-72.0,0
631,10,9.75,-72.0,0
632,10,7.75,-67.0,0
633,10,8.5,-69.0,0
634,16,7.0,-73.0,0
635,10,9.75,-77.0,0
636,10,10.75,-71.0,0
637,10,9.0,-63.0,0
638,16,9.5,-31.0,0
639,16,11.0,-32.0,0
640,10,9.5,-62.0,0
641,10,10.0,-62.0,0
642,16,7.75,-30.0,0
643,10,7.5,-61.0,0
644,10,10.0,-31.0,0
645,10,10.0,-65.0,0
646,16,10.5,-67.0,0
647,10,8.25,-30.0,0
648,10,9.25,-69.0,0
649,16,10.0,-29.0,0
650,16,7.75,-29.0,0
651,10,7.25,-31.0,0
652,16,9.5,-30.0,0
653,10,6.25,-69.0,0
654,10,8.75,-61.0,0
655,16,9.0,-29.0,0
656,10,9.0,-24.0,0
657,10,9.5,-27.0,0
658,10,10.0,-29.0,0
659,10,8.5,-26.0,0
660,10,10.25,-27.0,0
661,16,7.75,-29.0,0
662,16,10.25,-27.0,0
663,10,6.75,-24.0,0
664,10,10.5,-26.0,0
665,10,10.5,-26.0,0
666,10,6.0,-30.0,0
667,16,7.0,-25.0,0
668,16,7.5,-26.0,0
669,10,6.75,-25.0,0
670,10,7.25,-23.0,0
671,10,10.25,-25.0,0
672,16,7.25,-24.0,0
673,10,7.25,-23.0,0
674,10,9.0,-41.0,0
675,10,10.5,-44.0,0
676,16,7.75,-41.0,0
677,10,7.75,-47.0,0
678,10,10.0,-53.0,0
679,10,2.25,-86.0,0
680,10,8.25,-57.0,0
681,10,7.0,-47.0,0
682,16,0.25,-90.0,0
683,10,7.25,-45.0,0
684,16,10.5,-47.0,0
685,16,10.0,-53.0,0
686,10,9.25,-51.0,0
